"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10330","Login with JSON data","webkit","Sun Aug 16 22:25:58 IST 2026","passed","Sun Aug 16 22:26:08 IST 2026","Login page test with diff approach","loginPage.spec.ts","",""
"","9159","Login with JSON data","firefox","Sun Aug 16 22:25:45 IST 2026","passed","Sun Aug 16 22:25:54 IST 2026","Login page test with diff approach","loginPage.spec.ts","",""
"","17070","Register user","firefox","Sun Aug 16 22:25:46 IST 2026","passed","Sun Aug 16 22:26:03 IST 2026","","registerPage.spec.ts","",""
"","13068","Login with JSON data","chromium","Sun Aug 16 22:25:31 IST 2026","passed","Sun Aug 16 22:25:44 IST 2026","Login page test with diff approach","loginPage.spec.ts","",""
"","7666","Register user","webkit","Sun Aug 16 22:26:09 IST 2026","passed","Sun Aug 16 22:26:16 IST 2026","","registerPage.spec.ts","",""
"","7803","login with API token","firefox","Sun Aug 16 22:25:45 IST 2026","passed","Sun Aug 16 22:25:53 IST 2026","Login page test with diff approach","loginPage.spec.ts","",""
"","12680","Login with POM","chromium","Sun Aug 16 22:25:31 IST 2026","passed","Sun Aug 16 22:25:43 IST 2026","Login page test with diff approach","loginPage.spec.ts","",""
"","9580","Login with POM","webkit","Sun Aug 16 22:25:58 IST 2026","passed","Sun Aug 16 22:26:07 IST 2026","Login page test with diff approach","loginPage.spec.ts","",""
"","3982","login with API token","webkit","Sun Aug 16 22:26:05 IST 2026","passed","Sun Aug 16 22:26:09 IST 2026","Login page test with diff approach","loginPage.spec.ts","",""
"","29272","Login with POM","firefox","Sun Aug 16 22:25:39 IST 2026","passed","Sun Aug 16 22:26:08 IST 2026","Login page test with diff approach","loginPage.spec.ts","",""
"","7100","login with API token","chromium","Sun Aug 16 22:25:31 IST 2026","passed","Sun Aug 16 22:25:38 IST 2026","Login page test with diff approach","loginPage.spec.ts","",""
"","12232","Register user","chromium","Sun Aug 16 22:25:31 IST 2026","passed","Sun Aug 16 22:25:43 IST 2026","","registerPage.spec.ts","",""
